ID,All_fragments,All_fragments_h,Counts
BIOFACQUIM_All_frag_569,*[C@@H](CCCC)[C@@H]1C=C(OC)CC(=O)O1,CCCCC[C@@H]1C=C(OC)CC(=O)O1,1
BIOFACQUIM_All_frag_570,*[C@@H]1O[C@H](CO)[C@@H](OC)[C@H](O)[C@@H]1O,CO[C@H]1[C@H](O)[C@H](O)CO[C@@H]1CO,1
BIOFACQUIM_All_frag_571,*O[C@]12CC3C(=O)OC(Cc4ccccc4)C(=O)N3[C@@]1(C(C)(C)C=C)Nc1ccccc12,C=CC(C)(C)[C@]12Nc3ccccc3[C@@]1(O)CC1C(=O)OC(Cc3ccccc3)C(=O)N12,1
BIOFACQUIM_All_frag_572,*[C@]12CC3C(=O)OC(Cc4ccccc4)C(=O)N3[C@@]1(C(C)(C)C=C)Nc1ccccc12,C=CC(C)(C)[C@]12Nc3ccccc3[C@@H]1CC1C(=O)OC(Cc3ccccc3)C(=O)N12,1
BIOFACQUIM_All_frag_573,*NC(C[C@@]1(C(C)(C)C=C)C(=O)Nc2c(O)cccc21)C(=O)O,C=CC(C)(C)[C@]1(CC(N)C(=O)O)C(=O)Nc2c(O)cccc21,1
BIOFACQUIM_All_frag_574,*C(=O)C(C[C@@]1(C(C)(C)C=C)C(=O)Nc2ccccc21)NC(=O)C(O)Cc1ccccc1,C=CC(C)(C)[C@]1(CC(C=O)NC(=O)C(O)Cc2ccccc2)C(=O)Nc2ccccc21,1
BIOFACQUIM_All_frag_575,*NC(C[C@@]1(C(C)(C)C=C)C(=O)Nc2ccccc21)C(*)=O,C=CC(C)(C)[C@]1(CC(N)C=O)C(=O)Nc2ccccc21,1
BIOFACQUIM_All_frag_576,*NC(C[C@@]1(C(C)(C)C=C)C(=O)Nc2ccccc21)C(=O)O,C=CC(C)(C)[C@]1(CC(N)C(=O)O)C(=O)Nc2ccccc21,1
BIOFACQUIM_All_frag_577,*C(=O)C(Cc1c(C(C)(C)C=C)[nH]c2ccccc12)NC(=O)C(O)Cc1ccccc1,C=CC(C)(C)c1[nH]c2ccccc2c1CC(C=O)NC(=O)C(O)Cc1ccccc1,1
BIOFACQUIM_All_frag_578,*NC(Cc1c(C(C)(C)C=C)[nH]c2ccccc12)C(*)=O,C=CC(C)(C)c1[nH]c2ccccc2c1CC(N)C=O,1
BIOFACQUIM_All_frag_579,*NC(Cc1c(C(C)(C)C=C)[nH]c2ccccc12)C(=O)O,C=CC(C)(C)c1[nH]c2ccccc2c1CC(N)C(=O)O,1
BIOFACQUIM_All_frag_580,*O[C@]12CC3C(=O)OC(Cc4ccccc4)C(=O)N3[C@@]1(C(C)(C)C=C)Nc1c(O)cccc12,C=CC(C)(C)[C@]12Nc3c(O)cccc3[C@@]1(O)CC1C(=O)OC(Cc3ccccc3)C(=O)N12,1
BIOFACQUIM_All_frag_581,*[C@]12CC3C(=O)OC(Cc4ccccc4)C(=O)N3[C@@]1(C(C)(C)C=C)Nc1c(O)cccc12,C=CC(C)(C)[C@]12Nc3c(O)cccc3[C@@H]1CC1C(=O)OC(Cc3ccccc3)C(=O)N12,1
BIOFACQUIM_All_frag_582,*NC(C[C@@]1(C(C)(C)C=C)C(=O)Nc2c(O)cccc21)C(=O)OC,C=CC(C)(C)[C@]1(CC(N)C(=O)OC)C(=O)Nc2c(O)cccc21,1
BIOFACQUIM_All_frag_583,*CC(C)c1c(O)cc(C)c(O)c1O,Cc1cc(O)c(C(C)C)c(O)c1O,1
BIOFACQUIM_All_frag_584,*C1C[C@@]2(C)C(=CC1=O)CC[C@@H](O)[C@@H]2C,C[C@H]1[C@H](O)CCC2=CC(=O)CC[C@@]21C,1
