ID,isomeric_smiles,canonical_smiles,Database,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,MW,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
nubbe_code_125,OC(C=CC(C(OC3=C2C(O)=C(O[C@H](O[C@@H]([C@H]([C@@H]5O)O)CO[C@H]4[C@@H]([C@@H]([C@@H](O)[C@H](C)O4)O)O)[C@@H]5O)C(OC)=C3)=CC2=O)=C1)=C1O,COc1cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c(O)c1O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,NuBBE,28,16,0,0.6363636363636364,0.36363636363636365,0.0,0.4642857142857143,0.35714285714285715,624.1690349439999,44,5,2,3,3,2,3,0,0
nubbe_code_126,OC1=CC=C(C(OC3=C2C(O)=C(O)C(OC)=C3)=CC2=O)C=C1,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1O,NuBBE,16,6,0,0.7272727272727273,0.2727272727272727,0.0,0.0625,0.0,300.06338810399996,22,3,0,3,1,0,3,0,0
nubbe_code_127,OC1=CC=C(C(OC3=C2C(O)=C(O[C@H](O[C@@H]([C@H]([C@@H]4O)O)CO)[C@@H]4O)C(OC)=C3)=CC2=O)C=C1,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NuBBE,22,11,0,0.6666666666666666,0.3333333333333333,0.0,0.3181818181818182,0.22727272727272727,462.1162115239998,33,4,1,3,2,1,3,0,0
nubbe_code_128,OC(C=C3)=C(O)C=C3C(O2)=CC(C1=C2C=C(OC)C(O)=C1O)=O,COc1cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c(O)c1O,NuBBE,16,7,0,0.6956521739130435,0.30434782608695654,0.0,0.0625,0.0,316.058302724,23,3,0,3,1,0,3,0,0
nubbe_code_129,OC(C=CC(C(OC3=C2C(O)=C(O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)C(OC)=C3)=CC2=O)=C1)=C1O,COc1cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c(O)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NuBBE,22,12,0,0.6470588235294118,0.35294117647058826,0.0,0.3181818181818182,0.22727272727272727,478.11112614399985,34,4,1,3,2,1,3,0,0
nubbe_code_130,CC(CC[C@](CC[C@@]([C@](CC[C@@]3([H])C(C)([C@H](CC[C@]([C@]([H])4CC=C5[C@@]([H])6C7)3C)O[C@H](O[C@@H]([C@H]2O)COC)[C@@H]([C@H]2O)O)C)4C)5C)6[C@](O[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)[C@@H]1O)=O)7C,COC[C@H]1O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4CC=C5[C@@H]6CC(C)(C)CC[C@]6(C(=O)O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]5(C)[C@]4(C)CC[C@H]3C2(C)C)[C@H](O)[C@@H](O)[C@@H]1O,NuBBE,43,13,0,0.7678571428571429,0.23214285714285715,0.0,0.9302325581395349,0.4186046511627907,794.4816423,56,7,7,0,2,2,0,0,0
nubbe_code_131,CC(CC[C@](CC[C@@]([C@](CC[C@@]3([H])C(C)([C@H](CC[C@]([C@]([H])4CC=C5[C@@]([H])6C7)3C)O[C@@H](O[C@@H]([C@H]2O)CO)[C@@H]([C@H]2O)O[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)[C@@H]1O)C)4C)5C)6[C@@](O)=O)7C,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,NuBBE,42,13,0,0.7636363636363637,0.23636363636363636,0.0,0.9285714285714286,0.42857142857142855,780.4659922359999,55,7,7,0,2,2,0,0,0
nubbe_code_132,CC1(C)CC[C@](CC[C@@]2(C3=CCC4[C@]5(CC[C@](O)(C(C)(C5CC[C@@]24C)C)[H])C)C)(C3C1)C(O)=O,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C2C1,NuBBE,30,3,0,0.9090909090909091,0.09090909090909091,0.0,0.9,0.26666666666666666,456.36034539599996,33,5,5,0,0,0,0,0,0
nubbe_code_133,C[C@]12[C@@H]([C@@H]3[C@](CC1)(C)CC[C@H]3C(=C)C)CC[C@H]1[C@@]2(C)CC[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,NuBBE,30,1,0,0.967741935483871,0.03225806451612903,0.0,0.9333333333333333,0.3333333333333333,426.38616621999995,31,5,5,0,0,0,0,0,0
nubbe_code_134,OC(/C=C/C1=CC(O)=C(C=C1)O)=O,O=C(O)C=Cc1ccc(O)c(O)c1,NuBBE,9,4,0,0.6923076923076923,0.3076923076923077,0.0,0.0,0.0,180.042258736,13,1,0,1,0,0,1,0,0
