ID,All_fragments,All_fragments_h,Counts
NPDBEJECOL_All_frag_166,*CCCC(C)=CC(=O)OC,CCCC(C)=CC(=O)OC,1
NPDBEJECOL_All_frag_167,*CCC=CCC=CCC,CCC=CCC=CCC,1
NPDBEJECOL_All_frag_168,*C(=O)CCCCCNC(=O)CCCCCN,NCCCCCC(=O)NCCCCCC=O,1
NPDBEJECOL_All_frag_169,*NCCCCCC(*)=O,NCCCCCC=O,1
NPDBEJECOL_All_frag_170,*NCCCCCC(=O)O,NCCCCCC(=O)O,1
NPDBEJECOL_All_frag_171,*C(=O)CCCCCCCCCC=CCCCCCC,CCCCCCC=CCCCCCCCCCC=O,1
NPDBEJECOL_All_frag_172,*C(=O)CCCCCCCC=CCC=CCC=CCC,CCC=CCC=CCC=CCCCCCCCC=O,1
NPDBEJECOL_All_frag_173,*CCC=CCC,CCC=CCC,1
NPDBEJECOL_All_frag_174,*CCC=CCCCCCCCC(*)=O,CCC=CCCCCCCCC=O,1
NPDBEJECOL_All_frag_175,*CCC/C(C)=C/CC/C(C)=C/C=O,CCC/C(C)=C/CC/C(C)=C/C=O,1
NPDBEJECOL_All_frag_176,*CCC=CCCCCCCCC(=O)O,CCC=CCCCCCCCC(=O)O,1
NPDBEJECOL_All_frag_177,*CCC/C(C)=C\C=O,CCC/C(C)=C\C=O,1
NPDBEJECOL_All_frag_178,*CC(CC)C(C)C,CCC(C)C(C)C,1
NPDBEJECOL_All_frag_179,*CC(C)C(C)C,CC(C)C(C)C,1
NPDBEJECOL_All_frag_180,*C1CC2C3OC3C(C1)N2C,CN1C2CCCC1C1OC12,1
NPDBEJECOL_All_frag_181,*CCCC(C)=CCCC(*)C,CCCCC=C(C)CCC,1
NPDBEJECOL_All_frag_182,*C(=O)CCCCCN,NCCCCCC=O,1
NPDBEJECOL_All_frag_183,*C(C)C/C=C\C=C,C=C/C=C\CCC,1
NPDBEJECOL_All_frag_184,*C(=O)CCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC=O,1
NPDBEJECOL_All_frag_185,*O*,O,1
NPDBEJECOL_All_frag_186,*C(=O)CC,CCC=O,1
NPDBEJECOL_All_frag_187,*C(=O)CCCCCCCCC,CCCCCCCCCC=O,1
NPDBEJECOL_All_frag_188,*C(=O)CCCC,CCCCC=O,1
NPDBEJECOL_All_frag_189,*CCC/C(C)=C/CCC(=C)C=C,C=CC(=C)CC/C=C(\C)CCC,1
NPDBEJECOL_All_frag_190,*C(=O)CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCC=O,1
NPDBEJECOL_All_frag_191,*C(=O)c1ccc(OC)cc1,COc1ccc(C=O)cc1,1
NPDBEJECOL_All_frag_192,*OC(=O)CCC,CCCC(=O)O,1
NPDBEJECOL_All_frag_193,*CCC/C(C)=C/CC/C(C)=C/CO,CCC/C(C)=C/CC/C(C)=C/CO,1
NPDBEJECOL_All_frag_194,*CCC/C(C)=C\CO,CCC/C(C)=C\CO,1
NPDBEJECOL_All_frag_195,*C(=O)CCc1ccccc1,O=CCCc1ccccc1,1
NPDBEJECOL_All_frag_196,*C(=O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC=O,1
NPDBEJECOL_All_frag_197,*CC/C=C(\C)CCC*,CC/C=C(\C)CCC,1
NPDBEJECOL_All_frag_198,*CC/C=C(\C)CCC=C(C)C,CC/C=C(\C)CCC=C(C)C,1
NPDBEJECOL_All_frag_199,*CCC/C(C)=C/C/C=C(\C)C=C,C=C/C(C)=C/C/C=C(\C)CCC,1
NPDBEJECOL_All_frag_200,*c1oc2cc(O)cc(O)c2c(=O)c1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)coc2cc(O)cc(O)c12,1
