ID,All_fragments,All_fragments_h,Counts
NuBBE_All_frag_110,*CC[C@]1(C)[C@H](C)[C@@H](O*)[C@H](*)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](*)O[C@H]3*,CC[C@]1(C)[C@H](C)[C@@H](O)C[C@@]23COCC2=C[C@H](OC)C[C@H]31,4
NuBBE_All_frag_111,*CC[C@@]1(C)[C@@H]2C[C@@H](OC)C=C3[C@@H](*)O[C@@H](*)[C@]32[C@@H](OC(C)=O)[C@H](*)[C@H]1C,CC[C@]1(C)[C@H](C)C[C@H](OC(C)=O)[C@@]23COCC2=C[C@H](OC)C[C@@H]13,4
NuBBE_All_frag_112,*CC[C@@]1(C)[C@@H]2C[C@@H](OC)C=C3[C@@H](*)O[C@@H](O*)[C@]32[C@@H](*)[C@H](*)[C@H]1C,CC[C@]1(C)[C@H](C)CC[C@@]23C(=C[C@H](OC)C[C@@H]12)CO[C@H]3O,4
NuBBE_All_frag_113,*CC[C@@]1(C)[C@@H]2C[C@@H](OC)C=C3[C@@H](*)O[C@@H](O*)[C@]32[C@@H](O*)[C@H](*)[C@H]1C,CC[C@]1(C)[C@H](C)C[C@H](O)[C@@]23C(=C[C@H](OC)C[C@@H]12)CO[C@H]3O,4
NuBBE_All_frag_114,*CC[C@@]1(C)[C@@H]2C[C@@H](OC)C=C3[C@@H](*)O[C@@H](O*)[C@]32[C@@H](OC(C)=O)[C@H](*)[C@H]1C,CC[C@]1(C)[C@H](C)C[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)CO[C@H]3O,4
NuBBE_All_frag_115,*CC[C@@]1(C)[C@@H]2C[C@@H](OC)C=C3[C@@H](O*)O[C@@H](*)[C@]32[C@@H](*)[C@H](*)[C@H]1C,CC[C@]1(C)[C@H](C)CC[C@@]23CO[C@H](O)C2=C[C@H](OC)C[C@H]31,4
NuBBE_All_frag_116,*CC[C@@]1(C)[C@@H]2C[C@@H](OC)C=C3[C@@H](O*)O[C@@H](*)[C@]32[C@@H](O*)[C@H](*)[C@H]1C,CC[C@]1(C)[C@H](C)C[C@H](O)[C@@]23CO[C@H](O)C2=C[C@H](OC)C[C@@H]13,4
NuBBE_All_frag_117,*CC[C@@]1(C)[C@@H]2C[C@@H](OC)C=C3[C@@H](O*)O[C@@H](*)[C@]32[C@@H](OC(C)=O)[C@H](*)[C@H]1C,CC[C@]1(C)[C@H](C)C[C@H](OC(C)=O)[C@@]23CO[C@H](O)C2=C[C@H](OC)C[C@@H]13,4
NuBBE_All_frag_118,*CC[C@@]1(C)[C@@H]2C[C@@H](OC)C=C3[C@@H](O*)O[C@@H](O*)[C@]32[C@@H](*)[C@H](*)[C@H]1C,CC[C@]1(C)[C@H](C)CC[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O)O[C@H]3O,4
NuBBE_All_frag_119,*CC[C@@]1(C)[C@@H]2C[C@@H](OC)C=C3[C@@H](O*)O[C@@H](O*)[C@]32[C@@H](O*)[C@H](*)[C@H]1C,CC[C@]1(C)[C@H](C)C[C@H](O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](O)O[C@H]3O,4
