ID,All_fragments,All_fragments_h,Counts
PeruNPD_All_frag_267,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)COC(C)=O)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O)CO,1
PeruNPD_All_frag_268,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)COC(C)=O)COC(C)=O)COC(C)=O,CC/C(=C/CCC(CCCCC(CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_269,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)CO*)CO*)C*,CC/C(C)=C/CCC(CO)CCCCC(CO)CC/C=C(\CO)CC=CC(C)C=O,1
PeruNPD_All_frag_270,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)CO*)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(CO)CC/C=C(\CO)CC=CC(C)C=O)CO,1
PeruNPD_All_frag_271,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)COC(C)=O)COC(C)=O)CO*,CC/C(=C/CCC(CCCCC(CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O)COC(C)=O)CO,1
PeruNPD_All_frag_272,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)CO*)CO*)COC(C)=O,CC/C(=C/CCC(CO)CCCCC(CO)CC/C=C(\CO)CC=CC(C)C=O)COC(C)=O,1
PeruNPD_All_frag_273,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)CO*)COC(C)=O)C*,CC/C(C)=C/CCC(CCCCC(CO)CC/C=C(\CO)CC=CC(C)C=O)COC(C)=O,1
PeruNPD_All_frag_274,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)CO*)COC(C)=O)CO*,CC/C(=C/CCC(CCCCC(CO)CC/C=C(\CO)CC=CC(C)C=O)COC(C)=O)CO,1
PeruNPD_All_frag_275,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)CO*)COC(C)=O)COC(C)=O,CC/C(=C/CCC(CCCCC(CO)CC/C=C(\CO)CC=CC(C)C=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_276,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)COC(C)=O)CO*)C*,CC/C(C)=C/CCC(CO)CCCCC(CC/C=C(\CO)CC=CC(C)C=O)COC(C)=O,1
PeruNPD_All_frag_277,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)COC(C)=O)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(CC/C=C(\CO)CC=CC(C)C=O)COC(C)=O)CO,1
PeruNPD_All_frag_278,*CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,1
PeruNPD_All_frag_279,*CC/C(=C/CCC(C*)CCCCC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)COC(C)=O)COC(C)=O,CC/C(=C/CCC(C)CCCCC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_280,*CC/C(=C/CCC(CCCCC(C*)CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)CO*)C*,CC/C(C)=C/CCC(CO)CCCCC(C)CC/C=C(/CC=CC(C)C=O)COC(C)=O,1
PeruNPD_All_frag_281,*N1C=CC(C=O)=C(Cc2ccccc2)C1,O=CC1=C(Cc2ccccc2)CNC=C1,1
PeruNPD_All_frag_282,*CC(CC/C=C(/CC=CC(C)C(=O)O)CO*)CCCCC(CC/C=C(/CC=CC(C)C(=O)O)CO*)COC(C)=O,CC(=O)OCC(CC/C=C(\CO)CC=CC(C)C(=O)O)CCCCC(C)CC/C=C(\CO)CC=CC(C)C(=O)O,1
PeruNPD_All_frag_283,*CC(CC/C=C(/CC=CC(C)C(=O)O)CO*)CCCCC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CO*,CC(=O)OC/C(=C\CCC(CO)CCCCC(C)CC/C=C(\CO)CC=CC(C)C(=O)O)CC=CC(C)C(=O)O,1
PeruNPD_All_frag_284,*CC(CC/C=C(/CC=CC(C)C(=O)O)CO*)CCCCC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)COC(C)=O,CC(=O)OC/C(=C\CCC(CCCCC(C)CC/C=C(\CO)CC=CC(C)C(=O)O)COC(C)=O)CC=CC(C)C(=O)O,1
PeruNPD_All_frag_285,*CC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CCCCC(C*)CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O,CC(=O)OC/C(=C\CCC(C)CCCCC(C)CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CC=CC(C)C(=O)O,1
PeruNPD_All_frag_286,*CC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)CO*,CC(=O)OC/C(=C\CCC(C)CCCCC(CO)CC/C=C(\CO)CC=CC(C)C=O)CC=CC(C)C(=O)O,1
PeruNPD_All_frag_287,*CC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)COC(C)=O,CC(=O)OC/C(=C\CCC(C)CCCCC(CC/C=C(\CO)CC=CC(C)C=O)COC(C)=O)CC=CC(C)C(=O)O,1
PeruNPD_All_frag_288,*CC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)CO*,CC(=O)OC/C(=C\CCC(C)CCCCC(CO)CC/C=C(/CC=CC(C)C=O)COC(C)=O)CC=CC(C)C(=O)O,1
PeruNPD_All_frag_289,*CC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CCCCC(CC/C=C(/CC=CC(C)C(*)=O)COC(C)=O)COC(C)=O,CC(=O)OC/C(=C\CCC(C)CCCCC(CC/C=C(/CC=CC(C)C=O)COC(C)=O)COC(C)=O)CC=CC(C)C(=O)O,1
